epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,4259.18,1.49449,1.25661,1.46103,0.8509,0.72137,0.80028,0.41909,1.66847,1.09435,1.60196,0.0007526,0.0007526,0.0007526
65,4325.97,1.48413,1.26908,1.47376,0.86591,0.696,0.79081,0.42896,1.63396,1.1102,1.58471,0.0007328,0.0007328,0.0007328
66,4392.75,1.48454,1.22693,1.45128,0.83416,0.7392,0.81251,0.42566,1.64762,1.07619,1.58564,0.000713,0.000713,0.000713
67,4459.21,1.48657,1.2607,1.45105,0.83691,0.72,0.80772,0.42867,1.63347,1.06747,1.58485,0.0006932,0.0006932,0.0006932
68,4525.67,1.46029,1.20939,1.44491,0.85618,0.71437,0.80067,0.42694,1.63649,1.0741,1.57669,0.0006734,0.0006734,0.0006734
69,4591.77,1.47403,1.22893,1.44312,0.84602,0.728,0.79613,0.43393,1.62946,1.06065,1.56554,0.0006536,0.0006536,0.0006536
70,4658.08,1.45329,1.18199,1.42157,0.85714,0.72957,0.80468,0.43258,1.63252,1.04238,1.58342,0.0006338,0.0006338,0.0006338
71,4724.02,1.45374,1.19373,1.42543,0.85727,0.73998,0.81613,0.43857,1.61925,1.05242,1.5732,0.000614,0.000614,0.000614
72,4790.47,1.44415,1.16639,1.41725,0.84077,0.72653,0.80537,0.43918,1.61198,1.05369,1.56673,0.0005942,0.0005942,0.0005942
73,4857.12,1.44668,1.17842,1.42039,0.8493,0.7184,0.80682,0.44073,1.60783,1.03338,1.54886,0.0005744,0.0005744,0.0005744
74,4923.96,1.43859,1.1517,1.40609,0.86091,0.7536,0.81909,0.44166,1.60146,1.013,1.53696,0.0005546,0.0005546,0.0005546
75,4990.31,1.43242,1.17968,1.4081,0.87944,0.72,0.81343,0.44406,1.59401,1.02108,1.54815,0.0005348,0.0005348,0.0005348
76,5057.24,1.40122,1.12406,1.38187,0.84093,0.74434,0.81837,0.43987,1.62693,1.01413,1.57266,0.000515,0.000515,0.000515
77,5124.34,1.41101,1.13149,1.38986,0.8666,0.7488,0.82493,0.44525,1.60281,1.00643,1.55318,0.0004952,0.0004952,0.0004952
78,5191.16,1.42268,1.13239,1.39224,0.88598,0.7184,0.81858,0.44628,1.61144,0.99393,1.55474,0.0004754,0.0004754,0.0004754
79,5258.19,1.37562,1.08736,1.36954,0.86946,0.7456,0.83303,0.44852,1.61812,0.99593,1.56416,0.0004556,0.0004556,0.0004556
80,5324.12,1.36673,1.05712,1.36084,0.87381,0.7344,0.82861,0.45122,1.61706,0.98972,1.55773,0.0004358,0.0004358,0.0004358
81,5391.22,1.39608,1.09637,1.3779,0.82786,0.7744,0.8295,0.45086,1.60841,0.98566,1.56132,0.000416,0.000416,0.000416
82,5458.34,1.38128,1.09771,1.37537,0.86744,0.7536,0.82924,0.45034,1.60574,0.98543,1.55487,0.0003962,0.0003962,0.0003962
83,5524.85,1.36116,1.04938,1.36749,0.87342,0.7504,0.83178,0.44941,1.5968,0.97741,1.55111,0.0003764,0.0003764,0.0003764
84,5591.42,1.3421,1.04591,1.34793,0.88823,0.752,0.83653,0.45927,1.59929,0.97748,1.54568,0.0003566,0.0003566,0.0003566
