epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,6840.58,1.37408,1.09512,1.39,0.9246,0.82096,0.90873,0.57785,1.32112,0.74299,1.3405,0.008152,0.008152,0.008152
58,6959.76,1.36314,1.09112,1.38672,0.93595,0.82951,0.91435,0.58534,1.31898,0.73744,1.32993,0.008119,0.008119,0.008119
59,7078.65,1.36696,1.08745,1.38809,0.92006,0.8272,0.91024,0.58562,1.31874,0.7333,1.33286,0.008086,0.008086,0.008086
60,7197.11,1.36111,1.08263,1.38123,0.93453,0.83094,0.91364,0.58912,1.30975,0.73221,1.32753,0.008053,0.008053,0.008053
61,7315.09,1.35689,1.06802,1.38346,0.93713,0.83686,0.91804,0.59034,1.30872,0.7199,1.32567,0.00802,0.00802,0.00802
62,7434.5,1.34958,1.07337,1.37916,0.92016,0.85714,0.92168,0.59411,1.29651,0.71403,1.31637,0.007987,0.007987,0.007987
63,7553.99,1.36089,1.06106,1.37554,0.9413,0.84716,0.92108,0.59045,1.29938,0.71535,1.31801,0.007954,0.007954,0.007954
64,7673.17,1.3553,1.06105,1.37941,0.94194,0.83344,0.91931,0.59421,1.2926,0.71216,1.31133,0.007921,0.007921,0.007921
65,7791.62,1.34408,1.05401,1.37075,0.95048,0.8381,0.92211,0.59255,1.30168,0.70256,1.31598,0.007888,0.007888,0.007888
66,7909.33,1.33676,1.04944,1.36524,0.93002,0.85153,0.92285,0.59588,1.29141,0.70065,1.31083,0.007855,0.007855,0.007855
67,8027.25,1.3322,1.04335,1.36125,0.92535,0.85839,0.92501,0.59724,1.28159,0.69774,1.30144,0.007822,0.007822,0.007822
68,8144.91,1.3309,1.03847,1.35199,0.9427,0.85028,0.92586,0.59998,1.28099,0.68887,1.30077,0.007789,0.007789,0.007789
69,8262.33,1.33896,1.03751,1.3622,0.94035,0.84582,0.92184,0.60296,1.27962,0.68627,1.3002,0.007756,0.007756,0.007756
70,8381.26,1.3214,1.02748,1.35822,0.9361,0.85839,0.92389,0.60468,1.2762,0.68214,1.29915,0.007723,0.007723,0.007723
71,8500.49,1.33129,1.03198,1.35601,0.92415,0.86652,0.92414,0.60245,1.27379,0.68222,1.29787,0.00769,0.00769,0.00769
72,8618.9,1.30899,1.02024,1.34742,0.9423,0.84903,0.92753,0.60521,1.27576,0.67996,1.29794,0.007657,0.007657,0.007657
73,8737.63,1.32558,1.01601,1.35323,0.93644,0.85215,0.92867,0.60514,1.27026,0.6728,1.29451,0.007624,0.007624,0.007624
74,8855.99,1.31295,1.01544,1.3511,0.94349,0.85405,0.92965,0.60554,1.26617,0.66885,1.294,0.007591,0.007591,0.007591
75,8974.38,1.31937,1.00892,1.35447,0.94198,0.85901,0.92961,0.60805,1.26399,0.66504,1.29256,0.007558,0.007558,0.007558
76,9092.64,1.31849,1.00546,1.3469,0.94207,0.8623,0.93129,0.6091,1.26244,0.66013,1.28897,0.007525,0.007525,0.007525
77,9211.24,1.31248,0.99815,1.34393,0.94333,0.86183,0.92933,0.60811,1.26531,0.66008,1.28907,0.007492,0.007492,0.007492
78,9329.96,1.31038,0.99797,1.3369,0.94139,0.86179,0.92902,0.60971,1.26224,0.65684,1.28608,0.007459,0.007459,0.007459
79,9448.54,1.28533,0.98964,1.32525,0.95332,0.85527,0.93023,0.61156,1.25959,0.65105,1.28217,0.007426,0.007426,0.007426
80,9565.76,1.30196,0.98289,1.32752,0.94508,0.85877,0.93162,0.61318,1.25654,0.64643,1.27903,0.007393,0.007393,0.007393
81,9685.55,1.29276,0.98352,1.32119,0.93668,0.87149,0.93364,0.61404,1.25271,0.64271,1.27739,0.00736,0.00736,0.00736
82,9804.85,1.29863,0.98286,1.33614,0.94043,0.86662,0.93392,0.6181,1.25105,0.63976,1.27708,0.007327,0.007327,0.007327
83,9923.91,1.30495,0.99796,1.33429,0.93754,0.869,0.9343,0.61879,1.24681,0.63598,1.274,0.007294,0.007294,0.007294
84,10041.6,1.28157,0.98436,1.32703,0.93629,0.871,0.93213,0.62021,1.24245,0.63369,1.27147,0.007261,0.007261,0.007261
85,10160.4,1.28348,0.9758,1.32057,0.93814,0.86837,0.93289,0.62056,1.24013,0.63185,1.26836,0.007228,0.007228,0.007228
86,10278.9,1.30108,0.97794,1.33426,0.93649,0.88022,0.93485,0.6231,1.2374,0.62767,1.26603,0.007195,0.007195,0.007195
87,10397.4,1.28029,0.96911,1.31536,0.93709,0.87356,0.93626,0.62481,1.23197,0.62569,1.26213,0.007162,0.007162,0.007162
88,10515.4,1.28485,0.96386,1.31098,0.93801,0.87149,0.93614,0.62658,1.23041,0.62382,1.26021,0.007129,0.007129,0.007129
89,10633.6,1.2817,0.9586,1.32137,0.94565,0.8683,0.93717,0.62743,1.22822,0.6243,1.2582,0.007096,0.007096,0.007096
90,10751,1.27001,0.95263,1.30327,0.94831,0.86983,0.93933,0.62757,1.22654,0.62201,1.257,0.007063,0.007063,0.007063
91,10869,1.29306,0.96078,1.31958,0.94262,0.87336,0.93875,0.62752,1.22559,0.62161,1.25602,0.00703,0.00703,0.00703
92,10986.4,1.27428,0.94885,1.30552,0.94737,0.87596,0.93939,0.62923,1.22512,0.62067,1.25463,0.006997,0.006997,0.006997
93,11104.3,1.25311,0.93222,1.30024,0.94492,0.87586,0.93859,0.63072,1.22076,0.62102,1.25135,0.006964,0.006964,0.006964
94,11222.1,1.26876,0.9471,1.30103,0.94079,0.88217,0.93891,0.63077,1.21964,0.62038,1.25013,0.006931,0.006931,0.006931
95,11340.1,1.25898,0.93601,1.29675,0.93915,0.88085,0.93948,0.62944,1.21806,0.61945,1.24895,0.006898,0.006898,0.006898
96,11457.6,1.24965,0.92546,1.28617,0.93976,0.88272,0.94144,0.63227,1.21548,0.6172,1.2474,0.006865,0.006865,0.006865
97,11574.8,1.25222,0.93481,1.29843,0.93681,0.8821,0.94178,0.63296,1.216,0.61665,1.24778,0.006832,0.006832,0.006832
98,11692.1,1.239,0.92827,1.28853,0.93759,0.88092,0.94195,0.63373,1.21533,0.61506,1.24698,0.006799,0.006799,0.006799
99,11808.8,1.25426,0.9293,1.29047,0.94181,0.8796,0.9426,0.63462,1.2113,0.61211,1.2436,0.006766,0.006766,0.006766
100,11925.7,1.24594,0.92023,1.29112,0.94757,0.87935,0.94308,0.63426,1.21234,0.61114,1.24476,0.006733,0.006733,0.006733
101,12042.3,1.24318,0.92347,1.28793,0.94878,0.87817,0.94302,0.63443,1.21068,0.61097,1.24345,0.0067,0.0067,0.0067
102,12158.5,1.23453,0.91189,1.28153,0.95054,0.87898,0.94355,0.63618,1.20962,0.60887,1.24285,0.006667,0.006667,0.006667
103,12275.1,1.23492,0.91604,1.2824,0.95201,0.87856,0.94418,0.63645,1.20854,0.60773,1.2411,0.006634,0.006634,0.006634
104,12391.4,1.24129,0.90901,1.28366,0.95218,0.88189,0.94428,0.63747,1.2069,0.60504,1.23948,0.006601,0.006601,0.006601
105,12508.8,1.23272,0.90815,1.28152,0.95033,0.88324,0.94532,0.63719,1.20487,0.60293,1.23818,0.006568,0.006568,0.006568
106,12625.8,1.22942,0.88107,1.27083,0.9504,0.88454,0.94615,0.63872,1.20362,0.60147,1.23718,0.006535,0.006535,0.006535
107,12742.4,1.22955,0.9053,1.27774,0.94847,0.88414,0.94635,0.63785,1.20229,0.59977,1.23626,0.006502,0.006502,0.006502
108,12857.9,1.22529,0.89579,1.2726,0.95111,0.88334,0.94669,0.6378,1.20201,0.59804,1.23571,0.006469,0.006469,0.006469
109,12974.2,1.22724,0.90011,1.27894,0.9545,0.88147,0.94702,0.63762,1.20092,0.59623,1.23481,0.006436,0.006436,0.006436
110,13090.6,1.21507,0.89767,1.27138,0.9542,0.88377,0.94632,0.63813,1.20075,0.5951,1.23481,0.006403,0.006403,0.006403
111,13207.4,1.22077,0.87972,1.27243,0.95138,0.88334,0.94518,0.63826,1.20006,0.59379,1.23427,0.00637,0.00637,0.00637
112,13324.4,1.2192,0.88271,1.26756,0.95177,0.88636,0.94538,0.63762,1.19961,0.59268,1.23381,0.006337,0.006337,0.006337
113,13441.5,1.23196,0.89663,1.27182,0.95095,0.88646,0.94518,0.63816,1.1992,0.5909,1.23376,0.006304,0.006304,0.006304
114,13558,1.20113,0.87842,1.25906,0.95116,0.88459,0.94586,0.63849,1.19857,0.5901,1.23285,0.006271,0.006271,0.006271
115,13674.3,1.20436,0.86954,1.25962,0.95246,0.88646,0.94641,0.63838,1.19834,0.58919,1.23307,0.006238,0.006238,0.006238
116,13791.2,1.20496,0.86948,1.25977,0.9512,0.88709,0.94549,0.63912,1.19769,0.58876,1.23307,0.006205,0.006205,0.006205
117,13907.1,1.22082,0.8685,1.26528,0.94812,0.88771,0.94635,0.63927,1.19654,0.58753,1.23204,0.006172,0.006172,0.006172
