epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,913.263,1.3802,0.79585,1.01757,0.92577,0.82459,0.89035,0.46776,1.56628,0.87435,1.07662,0.000416,0.000416,0.000416
82,924.24,1.32582,0.7649,0.9989,0.91152,0.82645,0.87664,0.43665,1.63519,0.85835,1.10767,0.0003962,0.0003962,0.0003962
83,935.344,1.31817,0.76253,0.99443,0.90015,0.85124,0.87512,0.41558,1.69584,0.88922,1.11811,0.0003764,0.0003764,0.0003764
84,946.374,1.29386,0.74727,1.00044,0.91739,0.82602,0.85804,0.41711,1.7122,0.86717,1.11613,0.0003566,0.0003566,0.0003566
85,957.445,1.31586,0.74474,0.97861,0.94934,0.84298,0.89329,0.44431,1.62623,0.88067,1.13555,0.0003368,0.0003368,0.0003368
86,968.54,1.32645,0.73295,1.00643,0.91061,0.84186,0.87489,0.43964,1.69577,0.81635,1.15925,0.000317,0.000317,0.000317
87,979.61,1.26859,0.73267,0.96506,0.88889,0.85124,0.87316,0.41637,1.68865,0.88593,1.1315,0.0002972,0.0002972,0.0002972
88,990.71,1.27308,0.69559,0.97348,0.95095,0.85124,0.90426,0.44502,1.67079,0.82411,1.13283,0.0002774,0.0002774,0.0002774
89,1001.8,1.28133,0.71561,0.97545,0.89431,0.83919,0.87556,0.43722,1.55499,0.89681,1.02961,0.0002576,0.0002576,0.0002576
90,1012.82,1.29751,0.72985,0.97074,0.95398,0.85665,0.90379,0.4312,1.59164,0.92588,1.04565,0.0002378,0.0002378,0.0002378
91,1056.85,1.25114,0.68472,1.0046,0.9442,0.83901,0.89799,0.42504,1.67804,0.88549,1.12365,0.000218,0.000218,0.000218
